topic0,might,need,given,increas,current,reduct,view,tighten,cut,reduc,domest,case,therefor,pressur,rais,larger,reason,alreadi,time,argument
 ,0.042,0.032,0.026,0.024,0.022,0.02,0.02,0.019,0.019,0.018,0.015,0.014,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011
topic1,growth,gdp,revis,estim,quarter,data,invest,contribut,output,account,net,consumpt,expenditur,trade,releas,final,stronger,nation,upward,weaker
 ,0.106,0.085,0.084,0.078,0.057,0.042,0.029,0.025,0.022,0.021,0.019,0.018,0.017,0.016,0.015,0.013,0.013,0.013,0.012,0.011
topic2,bank,credit,financi,lend,money,condit,market,corpor,compani,fund,capit,borrow,sector,broad,hold,spread,non,household,improv,cost
 ,0.064,0.053,0.041,0.038,0.033,0.031,0.026,0.025,0.024,0.022,0.017,0.017,0.015,0.015,0.014,0.014,0.012,0.012,0.011,0.011
topic3,consumpt,spend,household,invest,consum,incom,confid,might,busi,support,fiscal,weak,real,prospect,recoveri,tax,budget,save,adjust,plan
 ,0.071,0.066,0.054,0.048,0.04,0.033,0.029,0.02,0.02,0.019,0.018,0.018,0.018,0.016,0.016,0.016,0.013,0.012,0.012,0.012
topic4,bank,asset,purchas,committe,meet,monetari,polici,rate,stock,billion,programm,announc,reserv,provid,stimulu,agre,financ,size,condit,addit
 ,0.087,0.076,0.064,0.054,0.032,0.032,0.025,0.022,0.019,0.018,0.017,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01
topic5,rate,interest,market,point,basi,short,expect,term,repo,rise,impli,reduct,chang,forward,meet,offici,yield,curv,particip,move
 ,0.259,0.092,0.05,0.049,0.044,0.038,0.037,0.037,0.027,0.024,0.022,0.022,0.019,0.016,0.015,0.014,0.013,0.013,0.012,0.01
topic6,governor,committe,member,respons,vote,present,proposit,deputi,follow,paul,repres,monetari,favour,maintain,treasuri,financi,bean,stabil,polici,king
 ,0.069,0.051,0.044,0.04,0.038,0.036,0.028,0.025,0.022,0.021,0.02,0.019,0.019,0.019,0.017,0.017,0.017,0.016,0.015,0.015
topic7,unit,euro,area,state,kingdom,market,equiti,bond,yield,govern,countri,uk,concern,financi,european,germani,spread,major,reflect,intern
 ,0.103,0.097,0.082,0.054,0.04,0.034,0.031,0.029,0.026,0.022,0.015,0.014,0.014,0.011,0.011,0.01,0.01,0.01,0.01,0.01
topic8,hous,price,market,indic,increas,activ,rise,continu,mortgag,equiti,recent,number,level,averag,although,balanc,slow,approv,institut,time
 ,0.099,0.084,0.065,0.048,0.048,0.036,0.032,0.03,0.021,0.018,0.017,0.015,0.015,0.014,0.014,0.013,0.013,0.011,0.01,0.01
